word;date;is_error
la ganancia;2022-04-02 19:00:02.236607;False
encorvar;2022-04-02 19:00:33.498793;False
la maceta;2022-04-02 19:00:37.274042;False
jorobar;2022-04-02 19:00:40.244279;False
desperdiciar;2022-04-02 19:00:46.598799;True
desperdiciar;2022-04-02 19:00:58.774411;False
desperdiciar;2022-04-03 13:01:33.477832;False
amplia;2022-04-03 13:33:20.697300;False
insensata;2022-04-03 13:33:34.198397;True
el destornillador;2022-04-03 13:33:41.518685;False
azar;2022-04-03 13:33:47.002852;False
la muñeca;2022-04-03 13:33:51.486075;False
adivinar;2022-04-03 13:34:05.911452;True
la tetera;2022-04-03 13:34:12.667684;False
el sótano;2022-04-03 13:34:24.585597;True
quejarse;2022-04-03 13:34:39.103294;False
il visillo;2022-04-03 13:34:44.851136;True
soler;2022-04-03 13:34:49.583949;False
el escasez;2022-04-03 13:34:55.337478;False
insensata;2022-04-03 13:35:00.428897;False
el sótano;2022-04-03 13:35:06.025818;False
adivinar;2022-04-03 13:35:14.268921;False
il visillo;2022-04-03 13:35:17.569983;True
il visillo;2022-04-03 13:35:21.264257;False
